"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Leisse","Tignes","4-CLF","https://lift-world.info/en/lifts/4124/datas.htm",,,,"2762 m",,,"?? m","3025 m","36 %","42 %","794 m","6 Stk","2,3 m/s","5,45 min",,"263 m"
"Lavachet","Tignes","1-SL","https://lift-world.info/en/lifts/8736/datas.htm",,,,"2060 m",,,"?? m","2103 m","?? %","26 %","267 m","?? Stk","2,5 m/s","?? min",,"43 m"
"Grattalu","Tignes","4-CLF","https://lift-world.info/en/lifts/4123/datas.htm",,,,"2430 m",,,"?? m","2704 m","?? %","52 %","1183 m","14 Stk","2,3 m/s","?? min",,"274 m"
"Grattalu","Tignes","6-CLD","https://lift-world.info/en/lifts/5352/datas.htm",,,,"2432 m",,,"?? m","2753 m","24 %","58 %","1422 m","14 Stk","5,25 m/s","4,5 min",,"321 m"
"Grande Motte Funiculaire","Tignes","335-FUC","https://lift-world.info/en/lifts/2649/datas.htm",,,,"2100 m",,,"?? m","3032 m","18 %","30 %","3484 m",,"12,0 m/s","6,5 min",,"932 m"
"Grande Motte B","Tignes","4-MGD","https://lift-world.info/en/lifts/18138/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Grande Motte A","Tignes","4-MGD","https://lift-world.info/en/lifts/18137/datas.htm",,,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Grande Motte","Tignes","115-AT","https://lift-world.info/en/lifts/4173/datas.htm",,,,"3034 m",,,"?? m","3456 m","?? %","55 %","1640 m","1 Stk","10,0 m/s","5 min",,"422 m"
"Grande Motte","Tignes","100-AT","https://lift-world.info/en/lifts/19348/datas.htm",,,,"3049 m",,,"?? m","3459 m","?? %","?? %","1696 m","1 Stk","10,0 m/s","5 min",,"410 m"
"Grand Huit","Tignes","4-CLF","https://lift-world.info/en/lifts/4122/datas.htm",,,,"2380 m",,,"?? m","2596 m","?? %","81 %","853 m","14 Stk","2,3 m/s","?? min",,"216 m"
"Fresse","Tignes","6-CLD","https://lift-world.info/en/lifts/218/datas.htm",,,,"2100 m",,"2210 m","?? m","2580 m","?? %","62 %","1849 m","19 Stk","5,0 m/s","?? min",,"480 m"
"Double Plan G","Tignes","2-SL","https://lift-world.info/en/lifts/8735/datas.htm",,,,"2710 m",,,"?? m","3014 m","?? %","46 %","1100 m","?? Stk","3,2 m/s","?? min",,"304 m"
"Double Plan D","Tignes","2-SL","https://lift-world.info/en/lifts/8734/datas.htm",,,,"2710 m",,,"?? m","3014 m","?? %","46 %","1100 m","?? Stk","3,2 m/s","?? min",,"304 m"
"De la Vanoise","Tignes","4-CLD","https://lift-world.info/en/lifts/4176/datas.htm",,,,"?? m",,,"?? m","?? m","27 %","55 %","1186 m","10 Stk","4,5 m/s","?? min",,"309 m"
